"""17/12/2016""";"""Spectacle""";"""44/Nantes""";"""theâtre du Sphinx""";"""Association""";"""5382774""";"""Concerts, spectacles""";"""Autres scènes""";"""Humour""";"""Nouveau depart par Kevin Robin""";"""Humour.""";"""Stand up. Avec une touchante sincerite Kevin confie doutes, motivations, observations et conclusions sur un monde qu'il ne comprend pas toujours.""";"""Samedi 17 decembre, 19h, Theâtre du Sphinx, 9, rue Monteil, Nantes. Tarif entree libre. Contact et reservation : 06 84 49 86 92, contact@theatredusphinx.com, http://www.theatredusphinx.com""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21357""";""" -1.547972""";"""17/12/2016""";"""17/12/2016""";"""oui""";"""""";"""entree libre""";""""""
"""17/12/2016""";"""Spectacle""";"""44/Nantes""";"""K production""";"""Équipement à but non lucratif (culture, sport et loisir)""";"""4898179""";"""Concerts, spectacles""";"""Autres scènes""";"""Humour""";"""Caroline Vigneaux""";"""Humour.""";"""Spectacle « Quitte la robe ».""";"""Samedi 17 decembre, à 20h30, Cite des congrès, 5, quai Valmy, Nantes. Tarif 37€. Contact et reservation : 02 40 25 09 55, www.kproduction.fr.""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21314""";""" -1.542703""";"""17/12/2016""";"""17/12/2016""";"""oui""";"""37""";"""""";""""""
"""16/12/2016""";"""Concert""";"""44/Nantes""";"""Toxxic productions""";"""Association""";"""5361664""";"""Concerts, spectacles""";"""Concert, spectacle musical""";"""Rock""";"""Toxxic TV""";"""Rock. Vendredi 16 decembre, 20h, Chez Madame-Rêve, 2, allee Jean-Bart, Nantes. Gratuit.""";"""""";"""""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21442""";""" -1.555273""";"""16/12/2016""";"""16/12/2016""";"""non""";"""""";"""""";""""""
"""15/12/2016""";"""Concert""";"""44/Nantes""";"""Helena Cueto compagnie flamenca""";"""Association""";"""5331897""";"""Concerts, spectacles""";"""Concert, spectacle musical""";"""Musiques du monde""";"""Soiree flamenco, compagnie Flamenca""";"""Musiques du monde.""";"""Spectacle traditionnel flamenco chaque soir avec Emilio Cortes au chant, Albant Lorini à la guitare, Helena Cueto à la danse. En plus : stages de chant, danse et palmas, du 15 au 18 decembre inclus, reservation au 0679313746 ou info@helenacueto.com.""";"""Du jeudi 15 au dimanche 18 decembre, 20h30, Theâtre de la Ruche, 8, rue Felibien, Nantes. Tarif 12€, reduit 8€, autre : Enfant et adherent 5 €. Reservation : 02 51 80 89 13, resa@laruchenantes.fr, http://www.helenacueto.com""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.22102""";""" -1.563876""";"""15/12/2016""";"""18/12/2016""";"""oui""";"""12""";"""Enfant et adherent 5 €""";""""""
"""16/12/2016""";"""Spectacle""";"""44/Nantes""";"""theâtre 100-Noms""";"""Équipement à but non lucratif (culture, sport et loisir)""";"""5386264""";"""Concerts, spectacles""";"""Autres scènes""";"""Revue""";"""La revue des bananes « Panique à bord »""";"""Revue.""";"""Des rires en cascades, des chansons à mettre le feu, un deferlement de choregraphies endiablees dans le pur esprit du cabaret burlesque, une vague de magie et de la bonne humeur à tous les etages.""";"""Du vendredi 16 au dimanche 18 decembre, Theâtre 100-Noms, Hangar-à-Bananes, 21, quai des Antilles, Nantes. Tarif 25€, reduit 19€. Contact et reservation : 02 28 20 01 00, www.theatre100noms.com""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.20091""";""" -1.573082""";"""16/12/2016""";"""18/12/2016""";"""oui""";"""25""";"""""";""""""
"""16/12/2016""";"""Concert""";"""44/Nantes""";"""le cafe Rouge-Mecanique""";"""Autre organisme à but non lucratif""";"""5209122""";"""Concerts, spectacles""";"""Concert, spectacle musical""";"""Rock""";"""Roman en solo et en acoustique""";"""Rock.""";"""Gaume : Timide sûrement, discret souvent, talentueux indeniablement, le charismatique leader aux yeux bleus vient avec ce 3e opus offrir plus qu'un album mais un double album, une veritable invitation à visiter les trefonds de son âme, sensible et ecorchee à la fois, tout aussi fragile que serein.""";"""Vendredi 16 decembre, 21h, Le cafe Rouge-Mecanique, 10, rue Bon-Secours, Nantes. Gratuit.""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21346""";""" -1.553543""";"""16/12/2016""";"""16/12/2016""";"""non""";"""""";"""""";""""""
"""16/12/2016""";"""Spectacle""";"""44/Nantes""";"""theâtre Beaulieu, compagnie Même pas cap""";"""Association""";"""5236154""";"""Concerts, spectacles""";"""Autres scènes""";"""Theâtre""";"""« Panique au Plazza » de Ray Cooney, compagnie Même pas cap""";"""Theâtre.""";"""Vaudeville de chez vaudeville, avec ses classiques portes et fenêtres qui claquent, ses mensonges à tiroir, ses penderies de secours, Panique au Plazza vous oblige à renoncer à tout bon sens. Un moment de pure folie à deguster sans moderation.""";"""Vendredi 16 decembre, 20h45, samedi 17 decembre, 20h45, dimanche 18 decembre, 15h45, Theâtre Beaulieu, 9, boulevard Vincent-Gâche, Nantes. Tarif 16€. Contact : 02 49 10 63 10, contact@theatrebeaulieu.fr, www.theatrebeaulieu.fr""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.20642""";""" -1.542222""";"""16/12/2016""";"""18/12/2016""";"""oui""";"""16""";"""""";""""""
"""15/12/2016""";"""Spectacle""";"""44/Nantes""";"""la compagnie du Cafe-Theâtre""";"""Équipement à but non lucratif (culture, sport et loisir)""";"""5366488""";"""Concerts, spectacles""";"""Autres scènes""";"""Cafe-theâtre""";"""Mehla, Fat and furious""";"""Cafe-theâtre.""";"""Un spectacle qui ne sera pas en anglais, qui ne parlera pas de l’Algerie (un exploit pour son auteur), ni du metro, où vous n’entendrez aucun accent, mais qui contiendra probablement les mots catechisme et frigo.""";"""Du jeudi 15 au samedi 17 decembre, 19h à 20h30, La compagnie du Cafe-Theâtre, 6, rue des Carmelites, Nantes. Tarif 15€, reduit 10€. Reservation avant le 15 decembre. Contact : 02 40 89 65 01, infos@lacompagnieducafetheatre.fr, http://www.nantes-spectacles.com/cie865-melha.html""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21656""";""" -1.551213""";"""15/12/2016""";"""17/12/2016""";"""oui""";"""15""";"""""";""""""
"""17/12/2016""";"""Concert""";"""44/Nantes""";"""le cafe Rouge-Mecanique""";"""Autre organisme à but non lucratif""";"""5288603""";"""Concerts, spectacles""";"""Concert, spectacle musical""";"""Rock""";"""L'arnaque avec Rimo""";"""Rock. Samedi 17 decembre, 21h, Le cafe Rouge-Mecanique, 10, rue Bon-Secours, Nantes. Gratuit.""";"""""";"""""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21346""";""" -1.553543""";"""17/12/2016""";"""17/12/2016""";"""non""";"""""";"""""";""""""
"""16/12/2016""";"""Concert""";"""44/Nantes""";"""le Filtre à sons""";"""Association""";"""5387527""";"""Concerts, spectacles""";"""Concert, spectacle musical""";"""Electro""";"""Soiree sauvage avec Sauvagerie production et le Filtre à sons""";"""Electro.""";"""Avec Valeskja Valcav, Les modules etranges, Eka faune, Vinaï, Gabriel Vogel, danse d’Émilie Barteau. Mix, expo serigraphies, visuels et projection par Guyseika.""";"""Vendredi 16 decembre, 20h, Ateliers de Bitche, 3, rue de Bitche, Nantes. Tarif prix libre. Contact et reservation : 06 71 44 25 95, lefiltre.a.sons@gmail.com, www.lefiltreasons.com""";"""Nantes""";"""44""";"""44109""";"""44000""";"""47.21257""";""" -1.541259""";"""16/12/2016""";"""16/12/2016""";"""oui""";"""""";"""prix libre""";""""""
